"lemma"
"1"	"character"
"2"	"Recherche"
"3"	"das"
"4"	"Prinzip"
"5"	"\""
"6"	"ich"
"7"	"machen"
"8"	"das"
"9"	","
"10"	"was"
"11"	"ich"
"12"	"selbst"
"13"	"sehen"
"14"	"und"
"15"	"hören"
"16"	"mögen%aux"
"17"	"\""
"18"	":"
"19"	"Katrin"
"20"	"Rabus"
"21"	"gönnen"
"22"	"#refl"
"23"	"zu"
"24"	"zwanzigjährig"
"25"	"Galeriejubiläum"
"26"	"ein"
"27"	"Festival"
"28"	"zunächst"
"29"	"in"
"30"	"der"
"31"	"Kellerraum"
"32"	"die"
"33"	"privat"
"34"	"Lothringer"
"35"	"Straße"
"36"	","
"37"	"später"
"38"	"in"
"39"	"umgebaut"
"40"	"Fabrikgebäude"
"41"	"auf"
"42"	"die"
"43"	"Plantage"
"44"	"in"
"45"	"Findorff"
"46"	"haben%aux"
"47"	"Katrin"
"48"	"Rabus"
"49"	"zielstrebig"
"50"	"ihre"
"51"	"Galerie"
"52"	"für"
"53"	"zeitgenössisch"
"54"	"Kunst"
"55"	"auf#bauen"
"56"	"."
"57"	"heute"
"58"	"kaufen"
"59"	"Firma"
"60"	"ebenso"
"61"	"bei"
"62"	"sie"
"63"	"wie"
"64"	"Privatleute"
"65"	":"
"66"	"etwa"
"67"	"zehn"
"68"	"Ausstellung"
"69"	"pro"
"70"	"Jahr"
"71"	"an#bieten"
"72"	"und"
"73"	"bieten"
"74"	"die"
"75"	"Galeristin"
"76"	"--"
"77"	"."
"78"	"dabei"
"79"	"sein"
"80"	"es"
"81"	"sie"
"82"	"wichtig"
"83"	","
"84"	"immer"
"85"	"auch"
"86"	"Ausstellung"
"87"	"zu"
"88"	"organisieren"
"89"	","
"90"	"der|die|das"
"91"	"nicht"
"92"	"primär"
"93"	"der"
"94"	"Verkauf"
"95"	"das"
"96"	"Bild"
"97"	"zu"
"98"	"Ziel"
"99"	"haben"
"100"	","
"101"	"sondern"
"102"	"KünstlerIn"
"103"	"ein"
"104"	"Forum"
"105"	"bieten"
"106"	"."
"107"	"die"
"108"	"mäzenatisch"
"109"	"Komponente"
"110"	"haben%aux"
"111"	"bei"
"112"	"Katrin"
"113"	"Rabus"
"114"	"immer"
"115"	"eine"
"116"	"Rolle"
"117"	"spielen"
"118"	"."
"119"	"Kern"
"120"	"der"
"121"	"selbstredend"
"122"	"abstrakt"
"123"	"Stil"
"124"	"ihr|ihre"
"125"	"KünstlerIn"
"126"	"sein"
"127"	"nach"
"128"	"ihre"
"129"	"Aussage"
"130"	"\""
"131"	"Ordnung"
"132"	","
"133"	"Konzentration"
"134"	"und"
"135"	"Reduktion"
"136"	"\""
"137"	"."
"138"	"damit"
"139"	"haben%aux"
"140"	"sie"
"141"	"#refl"
"142"	"auch"
"143"	"überregional"
"144"	"ein"
"145"	"Name"
"146"	"machen"
"147"	"."
"148"	"aber"
"149"	"dabei"
"150"	"sollen%aux"
"151"	"es"
"152"	"nicht"
"153"	"bleiben"
"154"	","
"155"	"aus"
"156"	"zwei"
"157"	"verschieden"
"158"	"Grund"
"159"	":"
"160"	"da"
"161"	"sein"
"162"	"das"
"163"	"Interesse"
"164"	"ihr"
"165"	"Mann"
"166"	"Werner"
"167"	"Rabus"
"168"	"an"
"169"	"zeitgenössisch"
"170"	"Musik"
"171"	"und"
"172"	"eine"
"173"	"Krise"
"174"	"die"
"175"	"Galerie"
"176"	"-"
"177"	"auch"
"178"	"finanziell"
"179"	"Natur"
"180"	"."
"181"	"da"
"182"	"nahe#liegen"
"183"	"die"
"184"	"Idee"
"185"	"--"
"186"	","
"187"	"in"
"188"	"der"
"189"	"wunderbar"
"190"	"Raum"
"191"	"mit"
"192"	"das"
"193"	"Oberlicht"
"194"	"auch"
"195"	"zeitgenössisch"
"196"	"Kammermusik"
"197"	"auf#führen"
"198"	"."
"199"	"ohne"
"200"	"Etat"
"201"	"müssen%aux"
"202"	"man"
"203"	"da"
"204"	"erfinderisch"
"205"	"sein"
"206"	":"
"207"	"ein"
"208"	"attraktiv"
"209"	"Abonnementsystem"
"210"	","
"211"	"Radio-Mitschnitt"
"212"	","
"213"	"Vermietung"
"214"	"auch"
"215"	"für"
"216"	"ander"
"217"	"Zweck"
"218"	"und"
"219"	"immer"
"220"	"auch"
"221"	"Verhandlung"
"222"	"mit"
"223"	"der"
"224"	"Künstler"
"225"	"erlauben"
"226"	"es"
"227"	"immerhin"
"228"	","
"229"	"in"
"230"	"Lauf"
"231"	"das"
"232"	"Jahr"
"233"	"die"
"234"	"Anzahl"
"235"	"das"
"236"	"Konzert"
"237"	"ständig"
"238"	"zu"
"239"	"steigern"
"240"	"."
"241"	"seit"
"242"	"1991"
"243"	"sein"
"244"	"die"
"245"	"Projektgruppe"
"246"	"neu"
"247"	"Musik"
"248"	"mit"
"249"	"ihr"
"250"	"jährlich"
"251"	"Festival"
"252"	"dort"
"253"	"zu"
"254"	"Gast"
"255"	","
"256"	"von"
"257"	"dessen|deren"
"258"	"KünstlerIn"
"259"	"viele"
"260"	"zu"
"261"	"Katrin"
"262"	"Rabus"
"263"	"wieder#kommen"
"264"	"sein%aux"
"265"	"."
"266"	"auch"
"267"	"Dacapo"
"268"	"und"
"269"	"die"
"270"	"deutsch"
"271"	"Kammerphilharmonie"
"272"	"veranstalten"
"273"	"dort"
"274"	"Konzert"
"275"	":"
"276"	"stets"
"277"	"sein"
"278"	"es"
"279"	"Interpret"
"280"	","
"281"	"dessen|deren"
"282"	"Name"
"283"	"allererst"
"284"	"Qualität"
"285"	"garantieren"
"286"	"."
"287"	"so"
"288"	"können%aux"
"289"	"Katrin"
"290"	"Rabus"
"291"	"langsam"
"292"	"\""
"293"	"ihr"
"294"	"\""
"295"	"MalerInnen-Kundenstamm"
"296"	"zu"
"297"	"Hören"
"298"	"von"
"299"	"Musik"
"300"	"verführen"
"301"	","
"302"	"der|die|das"
"303"	"MusikerIn"
"304"	"zu"
"305"	"Betrachten"
"306"	"das"
"307"	"Bild"
"308"	"veranlassen"
"309"	"."
"310"	"und"
"311"	"immer"
"312"	"mehr"
"313"	"haben%aux"
"314"	"#refl"
"315"	"die"
"316"	"Idee"
"317"	"verfestigen"
"318"	","
"319"	"wie"
"320"	"viel"
"321"	"die"
"322"	"beide"
"323"	"Schwesternkunst"
"324"	"miteinander"
"325"	"zu"
"326"	"tun"
"327"	"haben%aux"
"328"	":"
"329"	"\""
"330"	"die"
"331"	"Musik"
"332"	"sein"
"333"	"wie"
"334"	"die"
"335"	"Malerei"
"336"	"\""
"337"	","
"338"	"nennen"
"339"	"sie"
"340"	"denn"
"341"	"auch"
"342"	"ganz"
"343"	"lapidar"
"344"	"ihr"
"345"	"Festival"
"346"	"."
"347"	"trotzdem"
"348"	"wollen"
"349"	"Katrin"
"350"	"Rabus"
"351"	"eines"
"352"	"nicht"
"353"	":"
"354"	"thematisch"
"355"	"Korrespondenz"
"356"	"vor#geben"
"357"	","
"358"	"überhaupt"
"359"	"in"
"360"	"irgendeine"
"361"	"Weise"
"362"	"didaktisch"
"363"	"sein"
"364"	"."
"365"	"Selbsterkenntnis"
"366"	"und"
"367"	"subjektiv"
"368"	"Empfinden"
"369"	"wollen%aux"
"370"	"sie"
"371"	"fördern"
"372"	"und"
"373"	"das"
"374"	"in"
"375"	"Gespräch"
"376"	"mit"
"377"	"MalerIn"
"378"	","
"379"	"KomponistIn"
"380"	"und"
"381"	"InterpretIn"
"382"	"."
"383"	"und"
"384"	"wenn"
"385"	"nicht"
"386"	"alle"
"387"	","
"388"	"so"
"389"	"werden%aux"
"390"	"doch"
"391"	"viele"
"392"	"an"
"393"	"Wochenende"
"394"	"zu"
"395"	"Veranstaltungsmarathon"
"396"	"nach"
"397"	"zwanzig"
"398"	"Jahr"
"399"	"kommen"
"400"	"."
"401"	"25"
"402"	"Bild"
"403"	"geben"
"404"	"es"
"405"	"zu"
"406"	"sehen"
"407"	","
"408"	"darunter"
"409"	"von"
"410"	"altbekannt"
"411"	"KünstlerIn"
"412"	"wie"
"413"	"Rupprecht"
"414"	"Geiger"
"415"	","
"416"	"Raimund"
"417"	"Girke"
"418"	","
"419"	"Jerry"
"420"	"Zeniuk"
"421"	","
"422"	"Antonio"
"423"	"Scaccabarozzi"
"424"	","
"425"	"Malte"
"426"	"Spohr"
"427"	"und"
"428"	"Otto"
"429"	"Greis"
"430"	"."
"431"	"für"
"432"	"das"
"433"	"Konzert"
"434"	"haben"
"435"	"man"
"436"	"die"
"437"	"Qual"
"438"	"die"
"439"	"Wahl"
"440"	":"
"441"	"das"
"442"	"Freiburger"
"443"	"Ensemble"
"444"	"Recherche"
"445"	"spielen"
"446"	"Wolfgang"
"447"	"Rihm"
"448"	"\""
"449"	"Musik"
"450"	"für"
"451"	"drei"
"452"	"Streicher"
"453"	"\""
"454"	"("
"455"	"Fr."
"456"	","
"457"	"20"
"458"	"Uhr"
"459"	")"
"460"	"und"
"461"	"\""
"462"	"Piano"
"463"	","
"464"	"Violin"
"465"	","
"466"	","
"467"	"Viola"
"468"	","
"469"	"Cello"
"470"	"\""
"471"	"von"
"472"	"Morton"
"473"	"Feldman"
"474"	"("
"475"	"Fr."
"476"	","
"477"	"22"
"478"	"Uhr"
"479"	")"
"480"	"."
"481"	"es"
"482"	"sein%aux"
"483"	"ausschließlich"
"484"	"KomponistIn"
"485"	"vertreten"
"486"	","
"487"	"der|die|das"
"488"	"jetzt"
"489"	"schon"
"490"	"\""
"491"	"Musikgeschichte"
"492"	"\""
"493"	"machen"
"494"	"haben%aux"
"495"	"("
"496"	"Sa."
"497"	","
"498"	"15"
"499"	"-"
"500"	"19"
"501"	"Uhr"
"502"	":"
"503"	"Stefan"
"504"	"Huber"
"505"	","
"506"	"Roman"
"507"	"Haubenstock-Ramati"
"508"	","
"509"	"Stefan"
"510"	"Wolpe"
"511"	","
"512"	"Younghi"
"513"	"Pagh-Paan"
"514"	","
"515"	"Helmut"
"516"	"Lachenmann"
"517"	";"
"518"	"So."
"519"	","
"520"	"11"
"521"	"Uhr"
"522"	":"
